name,ncaa_fg3a,ncaa_fg3_pct,ncaa_ft_pct,ncaa_sos,ncaa_team_fg3a_avg,nba_avg_team_ortg,nba_relative_team_fg3a,nba_fg3_pct
Justin Anderson,272,0.356617647,0.751879699,6.64,15.04716981,105.475,1.479949875,0.293729373
Frank Kaminsky,279,0.369175627,0.763496144,9.61,21.0738255,107.1,1.042606516,0.33227345
Norman Powell,354,0.313559322,0.746397695,7.25,15.43262411,111.9333333,0.997493734,0.347560976
Richaun Holmes,85,0.352941176,0.696969697,-1.07,16.28865979,102.8,1.087719298,0.279069767
Josh Richardson,308,0.318181818,0.757961783,7.15,17.75,105.8,0.972431078,0.356521739
Andrew Harrison,188,0.367021277,0.776566757,9.28,15.10126582,105.85,0.960502693,0.278350515
Pat Connaughton,695,0.385611511,0.776744186,6.88,19.38129496,108.2,1.007518797,0.419354839
TJ McConnell,363,0.380165289,0.74893617,5.48,17.28776978,102.8,1.087719298,0.31875
Brandon Ingram,195,0.41025641,0.682352941,10.59,23.63888889,103.95,0.933572711,0.300884956
Jaylen Brown,102,0.294117647,0.65437788,7.87,19.14705882,109.7,1.150807899,0.367768595
Buddy Hield,894,0.390380313,0.835555556,9.28,20.72262774,104.4333333,1.29443447,0.40212766
Marquese Chriss,60,0.35,0.682170543,8.12,22.11764706,105.45,0.863554758,0.32155477
Domantas Sabonis,14,0.357142857,0.729299363,4.67,18.89189189,108.95,0.919210054,0.329411765
Jamal Murray,277,0.407942238,0.782894737,8.84,18.5,111.4,1.057450628,0.326754386
Caris LeVert,334,0.401197605,0.769811321,9.3,21.94444444,105.4,1.179533214,0.308550186
Patrick McCaw,341,0.366568915,0.75308642,3.28,21.1969697,115.6,1.123877917,0.348387097
Taurean Prince,346,0.375722543,0.718309859,9.08,18.53846154,104.65,0.969479354,0.373737374
Malcolm Brogdon,507,0.364891519,0.875518672,7.76,14.77142857,108.4,0.861759425,0.408759124
Yogi Ferrell,681,0.399412628,0.830188679,7.28,20.18978102,104.5666667,1.694793537,0.381481481
